feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 8, 10, 11, 12, 13, 15, 16, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 43, 48, 49, 50, 51, 53)",[0.86634938 0.96215006],0.9142497200447928,"('0', '8', '10', '11', '12', '13', '15', '16', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '43', '48', '49', '50', '51', '53')",0.20609851122279366,0.047900335946248596,0.04790033594624859
"(0, 8, 10, 11, 12, 13, 15, 16, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 43, 48, 49, 51, 53)",[0.87463606 0.96159015],0.9181131019036954,"('0', '8', '10', '11', '12', '13', '15', '16', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '43', '48', '49', '51', '53')",0.18706662064815807,0.043477043673012306,0.0434770436730123
"(0, 8, 10, 11, 12, 13, 15, 16, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 43, 48, 49, 53)",[0.87082867 0.95979843],0.9153135498320268,"('0', '8', '10', '11', '12', '13', '15', '16', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '43', '48', '49', '53')",0.19140300077908773,0.04448488241881299,0.04448488241881298
"(0, 8, 10, 11, 12, 13, 16, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 43, 48, 49, 53)",[0.87799552 0.9549832 ],0.9164893617021277,"('0', '8', '10', '11', '12', '13', '16', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '43', '48', '49', '53')",0.165625630000784,0.03849384098544234,0.03849384098544234
"(0, 8, 10, 11, 12, 13, 16, 18, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 43, 48, 49, 53)",[0.8650056  0.96254199],0.9137737961926092,"('0', '8', '10', '11', '12', '13', '16', '18', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '43', '48', '49', '53')",0.20983261633553843,0.0487681970884658,0.048768197088465796
"(0, 8, 10, 11, 12, 13, 16, 18, 21, 23, 24, 26, 27, 28, 34, 36, 38, 43, 48, 49, 53)",[0.86808511 0.96422172],0.9161534154535274,"('0', '8', '10', '11', '12', '13', '16', '18', '21', '23', '24', '26', '27', '28', '34', '36', '38', '43', '48', '49', '53')",0.20682124124461554,0.048068309070548765,0.048068309070548765
"(0, 8, 10, 11, 12, 13, 16, 18, 21, 23, 26, 27, 28, 34, 36, 38, 43, 48, 49, 53)",[0.86567749 0.96282195],0.9142497200447928,"('0', '8', '10', '11', '12', '13', '16', '18', '21', '23', '26', '27', '28', '34', '36', '38', '43', '48', '49', '53')",0.2089894313100801,0.04857222844344905,0.04857222844344904
"(0, 8, 10, 11, 12, 13, 16, 18, 21, 23, 27, 28, 34, 36, 38, 43, 48, 49, 53)",[0.86382979 0.96326988],0.9135498320268758,"('0', '8', '10', '11', '12', '13', '16', '18', '21', '23', '27', '28', '34', '36', '38', '43', '48', '49', '53')",0.21392808645919442,0.04972004479283315,0.04972004479283315
"(0, 10, 11, 12, 13, 16, 18, 21, 23, 27, 28, 34, 36, 38, 43, 48, 49, 53)",[0.8618701  0.96265398],0.9122620380739082,"('0', '10', '11', '12', '13', '16', '18', '21', '23', '27', '28', '34', '36', '38', '43', '48', '49', '53')",0.2168190065464811,0.05039193729003366,0.05039193729003366
"(0, 10, 11, 13, 16, 18, 21, 23, 27, 28, 34, 36, 38, 43, 48, 49, 53)",[0.86679731 0.95862262],0.9127099664053752,"('0', '10', '11', '13', '16', '18', '21', '23', '27', '28', '34', '36', '38', '43', '48', '49', '53')",0.19754620596457134,0.045912653975363926,0.045912653975363926
"(0, 10, 11, 13, 16, 18, 21, 23, 27, 28, 34, 36, 43, 48, 49, 53)",[0.86662934 0.95156775],0.9090985442329227,"('0', '10', '11', '13', '16', '18', '21', '23', '27', '28', '34', '36', '43', '48', '49', '53')",0.18273024051722844,0.04246920492721162,0.04246920492721162
"(0, 10, 11, 13, 18, 21, 23, 27, 28, 34, 36, 43, 48, 49, 53)",[0.86539754 0.95072788],0.9080627099664054,"('0', '10', '11', '13', '18', '21', '23', '27', '28', '34', '36', '43', '48', '49', '53')",0.18357342554268655,0.04266517357222832,0.04266517357222832
"(10, 11, 13, 18, 21, 23, 27, 28, 34, 36, 43, 48, 49, 53)",[0.86080627 0.95503919],0.907922732362822,"('10', '11', '13', '18', '21', '23', '27', '28', '34', '36', '43', '48', '49', '53')",0.20272577112095955,0.04711646136618142,0.04711646136618141
"(10, 11, 13, 18, 21, 23, 27, 28, 34, 36, 43, 48, 53)",[0.86142217 0.95481523],0.9081187010078386,"('10', '11', '13', '18', '21', '23', '27', '28', '34', '36', '43', '48', '53')",0.20091894606640592,0.046696528555431216,0.046696528555431216
"(10, 11, 13, 18, 21, 23, 27, 28, 34, 36, 43, 48)",[0.84714446 0.95895857],0.9030515117581187,"('10', '11', '13', '18', '21', '23', '27', '28', '34', '36', '43', '48')",0.24054864226295675,0.05590705487122061,0.0559070548712206
"(10, 11, 18, 21, 23, 27, 28, 34, 36, 43, 48)",[0.85442329 0.95593505],0.9051791713325867,"('10', '11', '18', '21', '23', '27', '28', '34', '36', '43', '48')",0.21838492159376077,0.05075587905935047,0.050755879059350466
"(10, 11, 18, 21, 23, 27, 28, 34, 36, 43)",[0.85279955 0.95145577],0.902127659574468,"('10', '11', '18', '21', '23', '27', '28', '34', '36', '43')",0.21224171640827724,0.049328107502799534,0.049328107502799534
